,13C,15N,pixel,12C13C,12C,12C15N,12C14N,C_all_ions,N_all_ions
356,0.03435455,0.0104578,177,6603,23833,4684,37026,30436,41710
357,0.03392503,0.01008437,162,12065,44099,7853,64375,56164,72228
358,0.03376363,0.009447619,154,12492,45878,7200,63000,58370,70200
359,0.0353231,0.01100209,204,13349,46861,8489,63784,60210,72273
360,0.03889348,0.01209282,78,6658,21227,4104,28055,27885,32159
361,0.03573279,0.009944797,116,10051,34879,6834,56808,44930,63642
362,0.03698132,0.01069875,104,7982,26764,5120,39561,34746,44681
363,0.03652566,0.010274,89,6359,21588,3658,29433,27947,33091
364,0.03633624,0.01005788,78,5473,18677,3195,26260,24150,29455
365,0.03527294,0.0102634,125,10102,35513,6366,51275,45615,57641
366,0.03726778,0.009890177,142,13087,43544,7853,65639,56631,73492
367,0.03356275,0.009806565,96,7370,27229,4575,38566,34599,43141
368,0.03677211,0.01056149,154,12504,42165,7748,60645,54669,68393
369,0.03362497,0.01106511,104,11154,41133,8050,60141,52287,68191
370,0.03436896,0.01142863,89,8322,30025,5508,39841,38347,45349
371,0.03406229,0.009819081,108,8740,31817,5542,46658,40557,52200
372,0.03923334,0.02244219,134,14068,44463,16991,62587,58531,79578
373,0.03609653,0.01189823,78,7141,24531,4752,33016,31672,37768
374,0.0338605,0.01111952,177,9529,34896,6080,45201,44425,51281
375,0.02819569,0.009390107,78,6191,27227,4455,39220,33418,43675
376,0.03451078,0.01136866,89,6994,25130,5408,39324,32124,44732
377,0.04194391,0.01823778,184,15777,46642,17392,78833,62419,96225
378,0.03671743,0.01211831,116,9275,31323,6896,47042,40598,53938
379,0.03613023,0.01102981,104,7106,24388,4846,36320,31494,41166
380,0.03541786,0.009719324,154,12280,42993,7139,60720,55273,67859
381,0.03402764,0.01261695,142,10604,38642,7918,51879,49246,59797
382,0.03933925,0.01189244,277,18906,59593,13379,93000,78499,106379
383,0.03514983,0.009973227,125,9944,35080,5906,48954,45024,54860
384,0.0340561,0.01017944,204,7157,26059,5490,44584,33216,50074
385,0.02930218,0.008692133,200,10640,45026,6942,66022,55666,72964
386,0.03718259,0.01104905,125,9397,31338,5463,40873,40735,46336
387,0.03637373,0.01076389,78,4948,16868,3025,23232,21816,26257
